manifest_id,filename,relative_path,category,subcategory,k8s_kind,api_version,source_type,source_reference,violation_type,expected_result,description
M031,m031_security_privileged_1.yaml,security/m031_security_privileged_1.yaml,security_context,privileged,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,privileged,fail,Privileged container is enabled
M032,m032_security_run_as_root_2.yaml,security/m032_security_run_as_root_2.yaml,security_context,run_as_root,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,run_as_root,fail,Container is allowed to run as root
M033,m033_security_privilege_escalation_3.yaml,security/m033_security_privilege_escalation_3.yaml,security_context,privilege_escalation,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,privilege_escalation,fail,Privilege escalation is allowed or not explicitly disabled
M034,m034_security_writable_rootfs_4.yaml,security/m034_security_writable_rootfs_4.yaml,security_context,writable_rootfs,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,writable_rootfs,fail,Container root filesystem is writable
M035,m035_security_capabilities_5.yaml,security/m035_security_capabilities_5.yaml,security_context,capabilities,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,capabilities,fail,Container adds risky Linux capabilities or does not drop them
M036,m036_security_hostnetwork_6.yaml,security/m036_security_hostnetwork_6.yaml,security_context,hostnetwork,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,hostnetwork,fail,Pod uses hostNetwork
M037,m037_security_hostpid_7.yaml,security/m037_security_hostpid_7.yaml,security_context,hostpid,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,hostpid,fail,Pod uses hostPID
M038,m038_security_unconfined_seccomp_8.yaml,security/m038_security_unconfined_seccomp_8.yaml,security_context,unconfined_seccomp,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,unconfined_seccomp,fail,Seccomp profile is unconfined or missing
M039,m039_security_privileged_9.yaml,security/m039_security_privileged_9.yaml,security_context,privileged,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,privileged,fail,Privileged container is enabled
M040,m040_security_run_as_root_10.yaml,security/m040_security_run_as_root_10.yaml,security_context,run_as_root,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,run_as_root,fail,Container is allowed to run as root
M041,m041_security_privilege_escalation_11.yaml,security/m041_security_privilege_escalation_11.yaml,security_context,privilege_escalation,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,privilege_escalation,fail,Privilege escalation is allowed or not explicitly disabled
M042,m042_security_writable_rootfs_12.yaml,security/m042_security_writable_rootfs_12.yaml,security_context,writable_rootfs,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,writable_rootfs,fail,Container root filesystem is writable
M043,m043_security_capabilities_13.yaml,security/m043_security_capabilities_13.yaml,security_context,capabilities,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,capabilities,fail,Container adds risky Linux capabilities or does not drop them
M044,m044_security_hostnetwork_14.yaml,security/m044_security_hostnetwork_14.yaml,security_context,hostnetwork,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,hostnetwork,fail,Pod uses hostNetwork
M045,m045_security_hostpid_15.yaml,security/m045_security_hostpid_15.yaml,security_context,hostpid,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,hostpid,fail,Pod uses hostPID
M046,m046_security_unconfined_seccomp_16.yaml,security/m046_security_unconfined_seccomp_16.yaml,security_context,unconfined_seccomp,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,unconfined_seccomp,fail,Seccomp profile is unconfined or missing
M047,m047_security_privileged_17.yaml,security/m047_security_privileged_17.yaml,security_context,privileged,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,privileged,fail,Privileged container is enabled
M048,m048_security_run_as_root_18.yaml,security/m048_security_run_as_root_18.yaml,security_context,run_as_root,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,run_as_root,fail,Container is allowed to run as root
M049,m049_security_privilege_escalation_19.yaml,security/m049_security_privilege_escalation_19.yaml,security_context,privilege_escalation,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,privilege_escalation,fail,Privilege escalation is allowed or not explicitly disabled
M050,m050_security_writable_rootfs_20.yaml,security/m050_security_writable_rootfs_20.yaml,security_context,writable_rootfs,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,writable_rootfs,fail,Container root filesystem is writable
M051,m051_security_capabilities_21.yaml,security/m051_security_capabilities_21.yaml,security_context,capabilities,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,capabilities,fail,Container adds risky Linux capabilities or does not drop them
M052,m052_security_hostnetwork_22.yaml,security/m052_security_hostnetwork_22.yaml,security_context,hostnetwork,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,hostnetwork,fail,Pod uses hostNetwork
M053,m053_security_hostpid_23.yaml,security/m053_security_hostpid_23.yaml,security_context,hostpid,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,hostpid,fail,Pod uses hostPID
M054,m054_security_unconfined_seccomp_24.yaml,security/m054_security_unconfined_seccomp_24.yaml,security_context,unconfined_seccomp,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,unconfined_seccomp,fail,Seccomp profile is unconfined or missing
M055,m055_security_privileged_25.yaml,security/m055_security_privileged_25.yaml,security_context,privileged,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,privileged,fail,Privileged container is enabled
M056,m056_security_run_as_root_26.yaml,security/m056_security_run_as_root_26.yaml,security_context,run_as_root,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,run_as_root,fail,Container is allowed to run as root
M057,m057_security_privilege_escalation_27.yaml,security/m057_security_privilege_escalation_27.yaml,security_context,privilege_escalation,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,privilege_escalation,fail,Privilege escalation is allowed or not explicitly disabled
M058,m058_security_writable_rootfs_28.yaml,security/m058_security_writable_rootfs_28.yaml,security_context,writable_rootfs,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,writable_rootfs,fail,Container root filesystem is writable
M059,m059_security_capabilities_29.yaml,security/m059_security_capabilities_29.yaml,security_context,capabilities,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,capabilities,fail,Container adds risky Linux capabilities or does not drop them
M060,m060_security_hostnetwork_30.yaml,security/m060_security_hostnetwork_30.yaml,security_context,hostnetwork,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,hostnetwork,fail,Pod uses hostNetwork
M061,m061_security_hostpid_31.yaml,security/m061_security_hostpid_31.yaml,security_context,hostpid,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,hostpid,fail,Pod uses hostPID
M062,m062_security_unconfined_seccomp_32.yaml,security/m062_security_unconfined_seccomp_32.yaml,security_context,unconfined_seccomp,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,unconfined_seccomp,fail,Seccomp profile is unconfined or missing
M063,m063_security_privileged_33.yaml,security/m063_security_privileged_33.yaml,security_context,privileged,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,privileged,fail,Privileged container is enabled
M064,m064_security_run_as_root_34.yaml,security/m064_security_run_as_root_34.yaml,security_context,run_as_root,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,run_as_root,fail,Container is allowed to run as root
M065,m065_security_privilege_escalation_35.yaml,security/m065_security_privilege_escalation_35.yaml,security_context,privilege_escalation,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,privilege_escalation,fail,Privilege escalation is allowed or not explicitly disabled
M066,m066_security_writable_rootfs_36.yaml,security/m066_security_writable_rootfs_36.yaml,security_context,writable_rootfs,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,writable_rootfs,fail,Container root filesystem is writable
M067,m067_security_capabilities_37.yaml,security/m067_security_capabilities_37.yaml,security_context,capabilities,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,capabilities,fail,Container adds risky Linux capabilities or does not drop them
M068,m068_security_hostnetwork_38.yaml,security/m068_security_hostnetwork_38.yaml,security_context,hostnetwork,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,hostnetwork,fail,Pod uses hostNetwork
M069,m069_security_hostpid_39.yaml,security/m069_security_hostpid_39.yaml,security_context,hostpid,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,hostpid,fail,Pod uses hostPID
M070,m070_security_unconfined_seccomp_40.yaml,security/m070_security_unconfined_seccomp_40.yaml,security_context,unconfined_seccomp,Pod,v1,synthetic_from_public_patterns,NSA/CISA Kubernetes hardening and Pod Security patterns,unconfined_seccomp,fail,Seccomp profile is unconfined or missing
M071,m071_resource_missing_memory_limit_1.yaml,resource/m071_resource_missing_memory_limit_1.yaml,resource_limits,missing_memory_limit,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,missing_memory_limit,fail,Container missing memory limit
M072,m072_resource_missing_requests_2.yaml,resource/m072_resource_missing_requests_2.yaml,resource_limits,missing_requests,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,missing_requests,fail,Container missing resource requests
M073,m073_resource_none_3.yaml,resource/m073_resource_none_3.yaml,resource_limits,none,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,none,fail,Container has no resource constraints
M074,m074_resource_excessive_4.yaml,resource/m074_resource_excessive_4.yaml,resource_limits,excessive,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,excessive,fail,Resource values are excessive or outside expected range
M075,m075_resource_missing_cpu_5.yaml,resource/m075_resource_missing_cpu_5.yaml,resource_limits,missing_cpu,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,missing_cpu,fail,Container missing CPU limit
M076,m076_resource_zero_6.yaml,resource/m076_resource_zero_6.yaml,resource_limits,zero,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,zero,fail,Resource request or limit is zero or invalid
M077,m077_resource_missing_memory_limit_7.yaml,resource/m077_resource_missing_memory_limit_7.yaml,resource_limits,missing_memory_limit,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,missing_memory_limit,fail,Container missing memory limit
M078,m078_resource_missing_requests_8.yaml,resource/m078_resource_missing_requests_8.yaml,resource_limits,missing_requests,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,missing_requests,fail,Container missing resource requests
M079,m079_resource_none_9.yaml,resource/m079_resource_none_9.yaml,resource_limits,none,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,none,fail,Container has no resource constraints
M080,m080_resource_excessive_10.yaml,resource/m080_resource_excessive_10.yaml,resource_limits,excessive,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,excessive,fail,Resource values are excessive or outside expected range
M081,m081_resource_missing_cpu_11.yaml,resource/m081_resource_missing_cpu_11.yaml,resource_limits,missing_cpu,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,missing_cpu,fail,Container missing CPU limit
M082,m082_resource_zero_12.yaml,resource/m082_resource_zero_12.yaml,resource_limits,zero,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,zero,fail,Resource request or limit is zero or invalid
M083,m083_resource_missing_memory_limit_13.yaml,resource/m083_resource_missing_memory_limit_13.yaml,resource_limits,missing_memory_limit,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,missing_memory_limit,fail,Container missing memory limit
M084,m084_resource_missing_requests_14.yaml,resource/m084_resource_missing_requests_14.yaml,resource_limits,missing_requests,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,missing_requests,fail,Container missing resource requests
M085,m085_resource_none_15.yaml,resource/m085_resource_none_15.yaml,resource_limits,none,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,none,fail,Container has no resource constraints
M086,m086_resource_excessive_16.yaml,resource/m086_resource_excessive_16.yaml,resource_limits,excessive,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,excessive,fail,Resource values are excessive or outside expected range
M087,m087_resource_missing_cpu_17.yaml,resource/m087_resource_missing_cpu_17.yaml,resource_limits,missing_cpu,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,missing_cpu,fail,Container missing CPU limit
M088,m088_resource_zero_18.yaml,resource/m088_resource_zero_18.yaml,resource_limits,zero,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,zero,fail,Resource request or limit is zero or invalid
M089,m089_resource_missing_memory_limit_19.yaml,resource/m089_resource_missing_memory_limit_19.yaml,resource_limits,missing_memory_limit,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,missing_memory_limit,fail,Container missing memory limit
M090,m090_resource_missing_requests_20.yaml,resource/m090_resource_missing_requests_20.yaml,resource_limits,missing_requests,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,missing_requests,fail,Container missing resource requests
M091,m091_resource_none_21.yaml,resource/m091_resource_none_21.yaml,resource_limits,none,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,none,fail,Container has no resource constraints
M092,m092_resource_excessive_22.yaml,resource/m092_resource_excessive_22.yaml,resource_limits,excessive,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,excessive,fail,Resource values are excessive or outside expected range
M093,m093_resource_missing_cpu_23.yaml,resource/m093_resource_missing_cpu_23.yaml,resource_limits,missing_cpu,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,missing_cpu,fail,Container missing CPU limit
M094,m094_resource_zero_24.yaml,resource/m094_resource_zero_24.yaml,resource_limits,zero,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,zero,fail,Resource request or limit is zero or invalid
M095,m095_resource_missing_memory_limit_25.yaml,resource/m095_resource_missing_memory_limit_25.yaml,resource_limits,missing_memory_limit,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,missing_memory_limit,fail,Container missing memory limit
M096,m096_resource_missing_requests_26.yaml,resource/m096_resource_missing_requests_26.yaml,resource_limits,missing_requests,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,missing_requests,fail,Container missing resource requests
M097,m097_resource_none_27.yaml,resource/m097_resource_none_27.yaml,resource_limits,none,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,none,fail,Container has no resource constraints
M098,m098_resource_excessive_28.yaml,resource/m098_resource_excessive_28.yaml,resource_limits,excessive,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,excessive,fail,Resource values are excessive or outside expected range
M099,m099_resource_missing_cpu_29.yaml,resource/m099_resource_missing_cpu_29.yaml,resource_limits,missing_cpu,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,missing_cpu,fail,Container missing CPU limit
M100,m100_resource_zero_30.yaml,resource/m100_resource_zero_30.yaml,resource_limits,zero,Deployment,apps/v1,synthetic_from_public_patterns,Kubernetes resource governance best practices,zero,fail,Resource request or limit is zero or invalid
M101,m101_net_allow_all_ingress_1.yaml,networking/m101_net_allow_all_ingress_1.yaml,networking,allow_all_ingress,NetworkPolicy,networking.k8s.io/v1,synthetic_from_public_patterns,Kubernetes service exposure and NetworkPolicy anti-patterns,allow_all_ingress,fail,NetworkPolicy allows all ingress traffic
M102,m102_net_allow_all_egress_2.yaml,networking/m102_net_allow_all_egress_2.yaml,networking,allow_all_egress,NetworkPolicy,networking.k8s.io/v1,synthetic_from_public_patterns,Kubernetes service exposure and NetworkPolicy anti-patterns,allow_all_egress,fail,NetworkPolicy allows all egress traffic
M103,m103_net_public_ingress_3.yaml,networking/m103_net_public_ingress_3.yaml,networking,public_ingress,Ingress,networking.k8s.io/v1,synthetic_from_public_patterns,Kubernetes service exposure and NetworkPolicy anti-patterns,public_ingress,fail,Ingress exposes service publicly or too broadly
M104,m104_net_wildcard_cidr_4.yaml,networking/m104_net_wildcard_cidr_4.yaml,networking,wildcard_cidr,NetworkPolicy,networking.k8s.io/v1,synthetic_from_public_patterns,Kubernetes service exposure and NetworkPolicy anti-patterns,wildcard_cidr,fail,Network rule uses wildcard CIDR range
M105,m105_net_nodeport_5.yaml,networking/m105_net_nodeport_5.yaml,networking,nodeport,Service,v1,synthetic_from_public_patterns,Kubernetes service exposure and NetworkPolicy anti-patterns,nodeport,fail,Service exposes NodePort access
M106,m106_net_ambiguous_policy_6.yaml,networking/m106_net_ambiguous_policy_6.yaml,networking,ambiguous_policy,NetworkPolicy,networking.k8s.io/v1,synthetic_from_public_patterns,Kubernetes service exposure and NetworkPolicy anti-patterns,ambiguous_policy,fail,NetworkPolicy is ambiguous or insufficiently restrictive
M107,m107_net_allow_all_ingress_7.yaml,networking/m107_net_allow_all_ingress_7.yaml,networking,allow_all_ingress,NetworkPolicy,networking.k8s.io/v1,synthetic_from_public_patterns,Kubernetes service exposure and NetworkPolicy anti-patterns,allow_all_ingress,fail,NetworkPolicy allows all ingress traffic
M108,m108_net_allow_all_egress_8.yaml,networking/m108_net_allow_all_egress_8.yaml,networking,allow_all_egress,NetworkPolicy,networking.k8s.io/v1,synthetic_from_public_patterns,Kubernetes service exposure and NetworkPolicy anti-patterns,allow_all_egress,fail,NetworkPolicy allows all egress traffic
M109,m109_net_public_ingress_9.yaml,networking/m109_net_public_ingress_9.yaml,networking,public_ingress,Ingress,networking.k8s.io/v1,synthetic_from_public_patterns,Kubernetes service exposure and NetworkPolicy anti-patterns,public_ingress,fail,Ingress exposes service publicly or too broadly
M110,m110_net_wildcard_cidr_10.yaml,networking/m110_net_wildcard_cidr_10.yaml,networking,wildcard_cidr,NetworkPolicy,networking.k8s.io/v1,synthetic_from_public_patterns,Kubernetes service exposure and NetworkPolicy anti-patterns,wildcard_cidr,fail,Network rule uses wildcard CIDR range
